report_date,efetivo,recursos,incendios,outras,notes,version,shift
2023-07-22,[],[],"[{""municipio"":""Boca Do Acre"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Itacoatiara"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Labrea"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":3,""incendio_florestal"":0,""total_ocorrencias"":3,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-23,[],[],"[{""municipio"":""Apui"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Labrea"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manacapuru"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":4,""incendio_florestal"":0,""total_ocorrencias"":4,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-24,[],[],"[{""municipio"":""Boca Do Acre"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":3,""incendio_florestal"":0,""total_ocorrencias"":3,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-25,[],[],"[{""municipio"":""Boca Do Acre"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Labrea"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manacapuru"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":8,""incendio_florestal"":0,""total_ocorrencias"":8,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manicore"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Parintins"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-26,[],[],"[{""municipio"":""Apui"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":3,""total_ocorrencias"":3,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":5,""incendio_florestal"":0,""total_ocorrencias"":5,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manicore"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-27,[],[],"[{""municipio"":""Boca Do Acre"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Borba"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Labrea"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manacapuru"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":5,""incendio_florestal"":0,""total_ocorrencias"":5,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manicore"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-28,[],[],"[{""municipio"":""Boca Do Acre"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Borba"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manacapuru"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":4,""incendio_florestal"":0,""total_ocorrencias"":4,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-29,[],[],"[{""municipio"":""Apui"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Borba"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Labrea"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":9,""incendio_florestal"":0,""total_ocorrencias"":9,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manicore"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-30,[],[],"[{""municipio"":""Boca Do Acre"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Borba"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Labrea"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manacapuru"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manaus"",""incendio_urbano"":7,""incendio_florestal"":0,""total_ocorrencias"":7,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
2023-07-31,[],[],"[{""municipio"":""Apui"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Autazes"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Boca Do Acre"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Borba"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Humaita"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Iranduba"",""incendio_urbano"":0,""incendio_florestal"":2,""total_ocorrencias"":2,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manacapuru"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null},{""municipio"":""Manicore"",""incendio_urbano"":0,""incendio_florestal"":1,""total_ocorrencias"":1,""focos_detectados"":0,""focos_combatidos"":null,""focos_atendidos"":null}]",[],Pré-importação histórica. Fonte: BASE 2023.xlsx | aba BASE 2023.,1,noturno
